score,inference_time,decision_node_cnt,stop_criteria
2.93,0.14,74,2_Decision_Nodes
1.59,0.14,70,2_Decision_Nodes
9.86,0.14,68,2_Decision_Nodes
1.96,0.12,65,2_Decision_Nodes
1.94,0.14,68,2_Decision_Nodes
1.94,0.14,101,4_Decision_Nodes
1.23,0.14,98,4_Decision_Nodes
5.56,0.14,97,4_Decision_Nodes
1.46,0.12,97,4_Decision_Nodes
1.5,0.12,97,4_Decision_Nodes
1.52,0.06,110,6_Decision_Nodes
1.06,0.05,108,6_Decision_Nodes
3.48,0.05,106,6_Decision_Nodes
1.22,0.13,106,6_Decision_Nodes
1.33,0.06,107,8_Decision_Nodes
1.11,0.05,116,8_Decision_Nodes
0.91,0.05,114,8_Decision_Nodes
1.43,0.05,113,8_Decision_Nodes
1.08,0.14,109,8_Decision_Nodes
1.16,0.05,110,8_Decision_Nodes
0.98,0.06,117,10_Decision_Nodes
0.8,0.05,116,10_Decision_Nodes
0.82,0.06,117,10_Decision_Nodes
1,0.14,112,10_Decision_Nodes
1.08,0.05,112,10_Decision_Nodes
0.87,0.05,119,12_Decision_Nodes
0.76,0.05,117,12_Decision_Nodes
0.79,0.06,117,12_Decision_Nodes
0.93,0.14,113,12_Decision_Nodes
1.09,0.05,113,12_Decision_Nodes
0.84,0.05,119,14_Decision_Nodes
0.76,0.05,117,14_Decision_Nodes
0.73,0.05,117,14_Decision_Nodes
0.9,0.05,114,14_Decision_Nodes
1.04,0.05,113,14_Decision_Nodes
0.84,0.05,119,16_Decision_Nodes
0.76,0.06,117,16_Decision_Nodes
0.73,0.05,117,16_Decision_Nodes
0.89,0.05,114,16_Decision_Nodes
0.97,0.06,114,16_Decision_Nodes
0.85,0.05,119,18_Decision_Nodes
0.76,0.05,117,18_Decision_Nodes
0.73,0.06,117,18_Decision_Nodes
0.89,0.05,114,18_Decision_Nodes
0.96,0.05,114,18_Decision_Nodes
0.85,0.05,119,20_Decision_Nodes
0.76,0.05,117,20_Decision_Nodes
0.73,0.05,117,20_Decision_Nodes
0.89,0.05,114,20_Decision_Nodes
0.96,0.05,114,20_Decision_Nodes
